Month,Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector
1973 enero,1339.27,180.291,1519.56,438.081,1957.641,657.977,123.242,781.219,299.461,1080.68,2027.033,188.594,2215.627,458.255,2673.882
1973 febrero,1174.899,169.24,1344.139,368.004,1712.143,623.759,119.754,743.513,260.4,1003.913,1841.299,186.266,2027.565,405.027,2432.592
1973 marzo,983.374,158.027,1141.401,368.678,1510.079,492.136,118.296,610.433,275.987,886.42,1926.411,190.614,2117.025,444.704,2561.729
1973 abril,715.391,142.693,858.084,325.337,1183.421,363.393,113.86,477.253,259.598,736.851,1914.017,190.856,2104.873,435.147,2540.02
1973 mayo,535.914,135.883,671.797,334.528,1006.326,288.63,117.568,406.198,289.438,695.636,2076.468,193.93,2270.397,477.433,2747.831
1973 junio,366.934,153.428,520.362,394.587,914.949,226.461,128.668,355.129,330.908,686.037,1958.75,195.739,2154.488,503.402,2657.89
1973 julio,306.868,184.667,491.535,470.336,961.872,196.228,139.958,336.186,356.465,692.651,2016.833,195.004,2211.837,496.664,2708.501
1973 agosto,313.317,193.604,506.921,487.338,994.259,204.22,141.977,346.197,357.383,703.58,2135.416,200.847,2336.263,505.569,2841.831
1973 septiembre,342.204,191.787,533.991,403.091,937.083,208.169,142.112,350.281,298.685,648.966,2054.255,201.917,2256.172,424.381,2680.553
1973 octubre,448.425,161.072,609.497,368.665,978.162,264.373,129.858,394.231,297.223,691.453,2245.484,206.472,2451.956,472.58,2924.536
1973 noviembre,711.988,147.334,859.322,342.782,1202.105,389.108,123.731,512.839,287.869,800.708,2267.315,199.373,2466.688,463.855,2930.543
1973 diciembre,987.464,158.312,1145.776,392.791,1538.568,508.529,117.629,626.158,291.851,918.009,2224.341,191.312,2415.653,474.666,2890.319
1974 enero,1235.945,180.421,1416.367,430.563,1846.93,631.87,120.804,752.673,288.29,1040.963,1933.969,189.218,2123.187,451.556,2574.742
1974 febrero,1062.873,163.023,1225.897,363.551,1589.448,536.911,115.779,652.69,258.194,910.884,1868.858,186.975,2055.832,416.964,2472.797
1974 marzo,912.136,157.279,1069.415,381.658,1451.073,470.272,115.364,585.636,279.946,865.582,1919.32,190.438,2109.758,462.122,2571.881
1974 abril,723.904,147.376,871.28,343.948,1215.228,373.79,114.209,487.999,266.544,754.543,1786.181,191.463,1977.644,446.839,2424.483
1974 mayo,500.171,140.251,640.421,363.4,1003.821,265.331,117.768,383.098,305.145,688.244,1913.278,195.256,2108.534,505.924,2614.458
1974 junio,369.658,158.989,528.647,388.188,916.835,213.921,127.622,341.543,311.602,653.144,1867.318,196.88,2064.197,480.702,2544.9
1974 julio,318.421,182.68,501.101,491.564,992.665,194.741,137.243,331.983,369.299,701.283,1982.717,196.201,2178.918,527.948,2706.866
1974 agosto,297.214,193.458,490.672,475.688,966.36,196.811,141.677,338.487,348.364,686.852,2051.401,203.496,2254.897,500.369,2755.266
1974 septiembre,341.18,180.658,521.838,379.862,901.7,213.859,138.301,352.16,290.799,642.959,2074.652,204.356,2279.008,429.691,2708.699
1974 octubre,484.835,150.688,635.523,357.081,992.604,281.762,125.696,407.458,297.858,705.316,2221.308,205.116,2426.424,486.057,2912.482
1974 noviembre,645.39,145.593,790.983,357.233,1148.216,353.427,121.79,475.217,298.828,774.045,2125.764,195.081,2320.845,478.658,2799.503
1974 diciembre,1016.87,172.346,1189.216,440.674,1629.89,526.565,125.082,651.647,319.823,971.47,2016.982,182.314,2199.296,466.161,2665.457
1975 enero,1145.426,185.31,1330.735,447.758,1778.493,546.765,130.382,677.146,315.037,992.183,2079.626,193.155,2272.782,466.715,2739.496
1975 febrero,1090.754,172.288,1263.042,376.242,1639.284,522.317,125.812,648.129,274.748,922.877,1644.884,188.899,1833.783,412.518,2246.301
1975 marzo,997.785,164.59,1162.376,396.88,1559.255,467.955,125.211,593.167,301.925,895.091,1767.041,189.596,1956.636,457.175,2413.811
1975 abril,865.717,153.565,1019.282,356.926,1376.209,421.169,121.517,542.687,282.438,825.124,1466.501,187.596,1654.097,436.022,2090.119
1975 mayo,526.079,140.895,666.974,359.745,1026.718,260.027,123.524,383.551,315.391,698.942,1547.577,190.51,1738.087,486.426,2224.513
1975 junio,368.304,157.068,525.373,397.712,923.084,204.983,136.279,341.262,345.072,686.334,1612.573,193.752,1806.324,490.597,2296.922
1975 julio,318.568,185.358,503.926,477.042,980.968,186.913,147.303,334.217,379.103,713.32,1723.033,192.642,1915.675,495.789,2411.464
1975 agosto,303.802,196.734,500.536,489.375,989.911,188.711,150.743,339.454,374.973,714.427,1775.06,200.67,1975.73,499.165,2474.895
1975 septiembre,341.999,186.703,528.702,381.782,910.485,206.459,147.349,353.808,301.308,655.116,1818.89,203.271,2022.16,415.66,2437.821
1975 octubre,443.56,147.585,591.145,350.724,941.869,247.362,131.093,378.455,311.533,689.988,2015.62,204.348,2219.968,485.617,2705.585
1975 noviembre,582.293,144.289,726.582,343.297,1069.879,306.117,127.717,433.834,303.869,737.704,1912.422,202.258,2114.68,481.221,2595.901
1975 diciembre,1006.009,172.349,1178.358,436.955,1615.313,500.577,130.895,631.473,331.857,963.329,2037.122,199.666,2236.788,506.211,2742.999
1976 enero,1303.69,206.4,1510.09,503.047,2013.137,637.624,140.492,778.115,342.413,1120.528,1952.491,199.948,2152.44,487.323,2639.763
1976 febrero,1100.921,186.256,1287.176,400.624,1687.801,547.418,134.901,682.319,290.162,972.481,1674.43,201.904,1876.335,434.283,2310.618
1976 marzo,895.893,161.372,1057.265,390.819,1448.084,444.843,130.827,575.671,316.845,892.515,1725.483,210.088,1935.571,508.802,2444.372
1976 abril,674.091,149.484,823.575,341.411,1164.986,338.629,126.527,465.156,288.979,754.135,1668.046,208.773,1876.819,476.821,2353.64
1976 mayo,522.575,140.852,663.427,338.845,1002.273,275.27,129.299,404.569,311.052,715.622,1786.425,212.892,1999.318,512.15,2511.468
1976 junio,403.688,151.433,555.121,392.585,947.705,225.495,138.5,363.995,359.056,723.051,1758.399,217.811,1976.209,564.668,2540.877
1976 julio,333.04,184.348,517.388,470.667,988.055,195.51,154.366,349.876,394.119,743.995,1869.786,216.617,2086.403,553.054,2639.456
1976 agosto,305.673,196.893,502.566,478.862,981.429,199.457,155.807,355.264,378.936,734.199,1881.599,221.825,2103.424,539.5,2642.924
1976 septiembre,336.311,183.467,519.779,386.681,906.46,208.28,152.945,361.225,322.351,683.576,1872.183,223.675,2095.858,471.425,2567.283
1976 octubre,484.198,153.526,637.724,362.883,1000.607,267.2,138.219,405.419,326.702,732.121,2160.842,222.598,2383.44,526.144,2909.584
1976 noviembre,827.672,160.318,987.99,394.493,1382.482,433.989,134.089,568.078,329.953,898.031,2086.874,219.082,2305.956,539.094,2845.049
1976 diciembre,1204.077,194.865,1398.942,486.32,1885.262,597.931,141.971,739.903,354.314,1094.217,2191.377,217.67,2409.047,543.233,2952.28
1977 enero,1488.04,224.365,1712.405,568.221,2280.626,700.204,149.26,849.464,378.012,1227.477,2000.874,213.508,2214.383,540.727,2755.11
1977 febrero,1244.153,210.993,1455.146,429.243,1884.389,586.869,142.5,729.368,289.9,1019.268,1585.719,209.651,1795.369,426.511,2221.88
1977 marzo,869.111,174.602,1043.713,409.332,1453.045,421.332,137.383,558.715,322.078,880.793,1847.703,220.074,2067.776,515.935,2583.711
1977 abril,630.341,152.406,782.747,347.937,1130.683,321.713,131.316,453.029,299.788,752.817,1736.779,220.2,1956.979,502.706,2459.685
1977 mayo,462.08,142.707,604.787,362.722,967.509,253.158,135.753,388.911,345.047,733.958,1872.16,227.74,2099.9,578.853,2678.753
1977 junio,365.119,166.262,531.382,420.734,952.115,220.028,147.255,367.283,372.634,739.917,1907.841,229.166,2137.007,579.913,2716.92
1977 julio,318.04,209.42,527.46,538.15,1065.61,202.907,162.743,365.651,418.205,783.855,1874.018,224.052,2098.07,575.75,2673.819
1977 agosto,311.161,213.905,525.066,520.554,1045.62,205.02,164.523,369.543,400.378,769.921,1974.493,230.058,2204.551,559.864,2764.415
1977 septiembre,330.422,196.633,527.055,430.944,957.999,209.442,160.061,369.503,350.793,720.296,2016.477,230.183,2246.659,504.473,2751.132
1977 octubre,470.296,167.261,637.557,374.788,1012.345,266.034,145.037,411.071,324.99,736.061,2107.344,230.514,2337.858,516.522,2854.379
1977 noviembre,647.249,154.364,801.612,376.153,1177.765,342.389,135.901,478.29,331.164,809.454,2072.347,225.141,2297.488,548.624,2846.113
1977 diciembre,1058.283,188.638,1246.921,483.583,1730.504,529.231,142.134,671.366,364.369,1035.735,2127.713,221.673,2349.386,568.27,2917.656
1978 enero,1232.305,224.871,1457.177,570.129,2027.305,594.992,152.16,747.152,385.78,1132.932,2108.872,224.793,2333.665,569.93,2903.595
1978 febrero,1236.943,220.344,1457.287,493.912,1951.199,601.511,148.882,750.394,333.727,1084.121,1751.218,209.705,1960.923,470.065,2430.987
1978 marzo,1038.126,200.561,1238.686,474.189,1712.875,525.259,144.019,669.278,340.507,1009.785,1757.718,212.134,1969.852,501.552,2471.404
1978 abril,675.086,161.715,836.801,374.113,1210.914,337.763,132.668,470.431,306.915,777.346,1788.792,217.996,2006.788,504.313,2511.101
1978 mayo,532.405,150.169,682.574,389.359,1071.934,281.076,134.694,415.77,349.236,765.006,1887.109,231.303,2118.411,599.724,2718.136
1978 junio,375.832,173.439,549.271,441.213,990.484,220.432,152.919,373.35,389.011,762.361,1813.446,237.595,2051.04,604.42,2655.46
1978 julio,325.162,210.681,535.843,537.063,1072.906,197.635,167.555,365.19,427.127,792.317,1928.49,232.03,2160.519,591.486,2752.005
1978 agosto,337.852,217.832,555.685,545.59,1101.275,210.276,169.731,380.007,425.115,805.122,1944.951,240.164,2185.115,601.522,2786.637
1978 septiembre,346.006,211.489,557.495,459.286,1016.781,212.651,168.115,380.766,365.091,745.857,1899.825,242.675,2142.5,527.012,2669.511
1978 octubre,470.243,174.38,644.624,395.333,1039.957,270.211,150.517,420.728,341.234,761.962,2095.778,243.136,2338.914,551.206,2890.12
1978 noviembre,673.031,161.115,834.145,391.527,1225.672,348.566,143.132,491.698,347.826,839.524,2081.597,237.823,2319.421,577.937,2897.358
1978 diciembre,1017.61,194.682,1212.292,494.931,1707.223,508.741,148.878,657.619,378.487,1036.106,2141.142,231.221,2372.363,587.823,2960.186
1979 enero,1264.667,238.632,1503.298,605.543,2108.841,654.397,159.851,814.248,405.631,1219.879,2195.377,233.121,2428.499,591.56,3020.059
1979 febrero,1261.839,231.477,1493.316,514.076,2007.392,647.859,156.237,804.095,346.979,1151.074,1833.442,230.76,2064.203,512.485,2576.688
1979 marzo,949.668,202.379,1152.047,463.584,1615.631,503.577,149.812,653.389,343.169,996.558,1921.047,238.1,2159.146,545.407,2704.553
1979 abril,685.282,170.87,856.151,386.488,1242.639,370.265,140.938,511.203,318.787,829.989,1786.702,238.649,2025.351,539.798,2565.148
1979 mayo,484.65,156.031,640.681,383.202,1023.883,272.45,142.604,415.054,350.226,765.28,1972.612,244.975,2217.587,601.643,2819.23
1979 junio,359.452,169.085,528.537,417.557,946.094,214.951,154.065,369.016,380.465,749.481,1919.676,245.388,2165.064,605.987,2771.051
1979 julio,314.195,199.964,514.159,510.609,1024.767,191.262,165.504,356.766,422.616,779.383,1948.712,242.197,2190.909,618.453,2809.363
1979 agosto,311.417,221.125,532.541,540.405,1072.946,195.268,171.581,366.849,419.325,786.174,2040.217,245.514,2285.73,600.009,2885.739
1979 septiembre,318.485,203.707,522.191,439.676,961.867,201.5,166.036,367.536,358.368,725.903,1970.157,242.3,2212.457,522.974,2735.431
1979 octubre,437.786,168.911,606.697,402.715,1009.412,262.234,152.589,414.823,363.801,778.625,2193.009,243.862,2436.871,581.413,3018.285
1979 noviembre,631.953,169.293,801.246,408.234,1209.48,360.091,145.433,505.524,350.697,856.22,2153.847,238.089,2391.936,574.129,2966.065
1979 diciembre,899.959,198.305,1098.265,489.907,1588.171,492.113,149.472,641.586,369.266,1010.851,2210.134,229.617,2439.752,567.262,3007.013
1980 enero,1063.204,224.649,1287.854,550.615,1838.468,562.333,156.679,719.012,384.02,1103.033,2146.786,230.419,2377.205,564.756,2941.961
1980 febrero,1075.443,220.122,1295.565,497.788,1793.352,557.517,154.999,712.515,350.517,1063.032,1876.835,233.749,2110.585,528.605,2639.19
1980 marzo,926.399,206.416,1132.815,482.325,1615.14,481.451,151.919,633.369,354.983,988.352,1945.219,235.721,2180.94,550.802,2731.743
1980 abril,640.924,176.568,817.491,394.736,1212.227,338.642,142.615,481.257,318.83,800.087,1726.173,231.702,1957.875,517.995,2475.87
1980 mayo,460.466,155.925,616.391,392.397,1008.788,249.923,142.149,392.072,357.729,749.801,1792.601,229.406,2022.007,577.317,2599.324
1980 junio,356.143,178.335,534.478,459.297,993.775,208.376,155.634,364.01,400.83,764.84,1709.852,227.713,1937.566,586.47,2524.036
1980 julio,296.382,234.101,530.482,621.848,1152.33,178.07,175.604,353.674,466.461,820.135,1694.535,223.592,1918.127,593.933,2512.059
1980 agosto,277.249,255.968,533.217,624.64,1157.857,172.546,183.406,355.953,447.566,803.519,1703.872,230.02,1933.892,561.318,2495.21
1980 septiembre,300.257,231.91,532.167,496.958,1029.125,193.379,178.485,371.864,382.473,754.337,1842.974,237.373,2080.347,508.664,2589.011
1980 octubre,433.995,184.296,618.291,420.038,1038.329,264.514,158.253,422.767,360.683,783.45,2038.169,236.837,2275.006,539.787,2814.793
1980 noviembre,644.357,172.439,816.796,416.117,1232.913,369.396,149.292,518.688,360.26,878.948,1975.232,230.696,2205.927,556.697,2762.624
1980 diciembre,964.382,207.364,1171.746,509.249,1680.995,529.27,157.056,686.326,385.7,1072.026,2095.912,233.78,2329.692,574.121,2903.813
1981 enero,1192.187,252.785,1444.971,587.354,2032.325,618.076,172.314,790.391,400.377,1190.768,1945.131,228.862,2173.993,531.768,2705.761
1981 febrero,1001.049,226.417,1227.466,465.612,1693.078,500.066,164.358,664.423,337.99,1002.414,1576.276,230.006,1806.283,472.993,2279.276
1981 marzo,796.785,196.737,993.522,456.311,1449.833,405.748,158.015,563.763,366.499,930.262,1809.264,234.029,2043.293,542.807,2586.1
1981 abril,535.409,173.718,709.127,398.033,1107.16,282.074,150.899,432.973,345.75,778.723,1631.372,232.488,1863.861,532.693,2396.553
1981 mayo,424.011,164.962,588.973,401.9,990.873,229.494,156.461,385.955,381.187,767.142,1753.945,234.453,1988.398,571.201,2559.599
1981 junio,316.953,191.636,508.588,490.627,999.215,186.775,173.214,359.989,443.463,803.452,1668.499,244.44,1912.939,625.816,2538.755
1981 julio,281.742,238.806,520.547,593.14,1113.688,168.205,190.542,358.746,473.263,832.009,1734.769,244.682,1979.451,607.736,2587.186
1981 agosto,276.109,239.86,515.969,559.541,1075.509,182.159,190.669,372.827,444.788,817.615,1764.165,245.698,2009.863,573.16,2583.022
1981 septiembre,286.684,208.466,495.15,444.467,939.617,184.251,183.811,368.062,391.9,759.962,1768.178,242.289,2010.466,516.579,2527.045
1981 octubre,452.926,180.797,633.724,412.611,1046.335,268.472,166.992,435.464,381.105,816.568,1890.957,235.955,2126.912,538.491,2665.403
1981 noviembre,598.64,177.305,775.945,410.229,1186.174,335.611,159.072,494.683,368.045,862.728,1784.713,225.743,2010.456,522.301,2532.756
1981 diciembre,881.812,212.879,1094.691,527.493,1622.184,476.41,166.894,643.304,413.546,1056.85,1941.158,218.791,2159.949,542.143,2702.091
1982 enero,1165.945,260.212,1426.157,632.487,2058.643,600.588,179.394,779.982,436.046,1216.027,1865.006,214.749,2079.754,521.981,2601.736
1982 febrero,1025.192,235.864,1261.056,496.835,1757.891,523.618,172.713,696.331,363.811,1060.142,1498.048,214.198,1712.246,451.197,2163.443
1982 marzo,850.443,206.419,1056.863,484.277,1541.14,446.83,166.135,612.965,389.767,1002.732,1634.263,220.061,1854.324,516.282,2370.606
1982 abril,683.342,187.379,870.721,425.889,1296.61,359.854,159.046,518.9,361.491,880.391,1517.049,214.01,1731.059,486.416,2217.476
1982 mayo,417.487,167.501,584.988,414.928,999.916,227.777,159.459,387.235,395.007,782.242,1470.765,213.182,1683.947,528.09,2212.037
1982 junio,323.654,184.53,508.183,451.943,960.126,178.244,173.048,351.292,423.822,775.114,1486.091,217.291,1703.382,532.179,2235.561
1982 julio,283.59,224.181,507.772,583.163,1090.934,165.295,187.595,352.891,487.991,840.882,1517.651,213.649,1731.301,555.766,2287.066
1982 agosto,277.113,238.519,515.632,572.341,1087.973,177.008,192,369.008,460.715,829.723,1569.883,216.001,1785.883,518.308,2304.191
1982 septiembre,323.867,215.137,539.004,471.526,1010.53,202.741,187.632,390.373,411.242,801.615,1534.266,204.652,1738.918,448.546,2187.465
1982 octubre,406.525,179.6,586.126,415.936,1002.061,231.142,169.512,400.654,392.572,793.227,1674.457,207.553,1882.01,480.672,2362.682
1982 noviembre,567.522,177.887,745.409,427.24,1172.649,310.526,161.813,472.339,388.636,860.975,1651.59,206.941,1858.53,497.021,2355.552
1982 diciembre,822.372,211.892,1034.264,515.116,1549.38,441.024,168.702,609.726,410.118,1019.844,1579.651,199.48,1779.131,484.94,2264.071
1983 enero,1126.919,238.726,1365.646,570.891,1936.537,581.943,173.791,755.734,415.605,1171.338,1617.485,197.685,1815.17,472.744,2287.913
1983 febrero,906.205,221.912,1128.117,464.948,1593.065,476.219,167.44,643.659,350.818,994.477,1481.891,201.417,1683.308,422.007,2105.315
1983 marzo,822.105,201.007,1023.112,479.021,1502.133,436.145,164.087,600.232,391.037,991.269,1565.461,205.612,1771.073,489.996,2261.069
1983 abril,658.629,192.041,850.67,430.261,1280.932,359.534,159.285,518.819,356.872,875.691,1506.174,206.591,1712.764,462.86,2175.624
1983 mayo,446.742,169.471,616.214,413.474,1029.688,241.987,157.747,399.734,384.87,784.604,1525.442,214.031,1739.473,522.19,2261.663
1983 junio,324.786,184.719,509.505,457.613,967.119,191.832,174.1,365.933,431.307,797.24,1483.512,225.711,1709.223,559.164,2268.387
1983 julio,280.856,238.72,519.576,606.139,1125.715,180.519,196.026,376.544,497.733,874.277,1510.724,226.639,1737.363,575.463,2312.825
1983 agosto,280.232,267.413,547.646,651.938,1199.584,190.214,204.073,394.288,497.519,891.807,1547.965,237.514,1785.479,579.045,2364.524
1983 septiembre,281.535,249.749,531.285,509.046,1040.331,190.344,200.572,390.916,408.812,799.728,1530.454,237.537,1767.991,484.156,2252.147
1983 octubre,357.347,188.935,546.283,424.353,970.636,227.232,176.431,403.663,396.267,799.93,1549.425,235.168,1784.593,528.193,2312.786
1983 noviembre,521.056,183.237,704.293,430.631,1134.923,308.66,166.923,475.583,392.291,867.875,1579.903,230.46,1810.363,541.612,2351.975
1983 diciembre,827.164,226.305,1053.469,589.329,1642.798,456.209,175.962,632.171,458.229,1090.4,1593.219,229.346,1822.565,597.248,2419.813
1984 enero,1217.642,285.095,1502.737,644.448,2147.184,631.1,193.909,825.009,438.326,1263.335,1879.638,226.865,2106.503,512.823,2619.326
1984 febrero,944.75,238.964,1183.714,501.797,1685.511,492.925,181.744,674.669,381.641,1056.309,1691.959,229.37,1921.329,481.65,2402.98
1984 marzo,878.47,217.874,1096.344,505.977,1602.321,464.696,178.814,643.511,415.267,1058.777,1763.451,236.985,2000.436,550.359,2550.795
1984 abril,680.173,192.949,873.121,421.001,1294.122,365.337,169.417,534.754,369.656,904.41,1704.828,234.822,1939.649,512.365,2452.014
1984 mayo,479.534,183.181,662.715,439.974,1102.688,263.224,173.934,437.158,417.764,854.923,1700.732,240.69,1941.422,578.102,2519.525
1984 junio,337.586,205.208,542.795,498.707,1041.502,194.272,192.689,386.96,468.281,855.241,1609.118,248.386,1857.504,603.64,2461.144
1984 julio,298.467,243.079,541.546,577.961,1119.507,187.1,209.036,396.136,497.017,893.153,1633.011,244.326,1877.337,580.926,2458.263
1984 agosto,298.541,250.329,548.87,605.998,1154.869,198.508,208.219,406.727,504.057,910.784,1658.95,253.478,1912.427,613.62,2526.047
1984 septiembre,312.717,230.88,543.597,475.056,1018.654,206.296,204.602,410.898,420.987,831.885,1578.053,242.394,1820.447,498.747,2319.194
1984 octubre,376.911,191.551,568.461,432.25,1000.712,233.577,187.961,421.538,424.15,845.688,1658.822,241.271,1900.093,544.448,2444.541
1984 noviembre,556.191,193.531,749.722,445.913,1195.634,319.034,181.025,500.06,417.099,917.159,1595.335,233.595,1828.93,538.225,2367.155
1984 diciembre,831.298,229.032,1060.329,532.215,1592.544,445.141,183.124,628.265,425.537,1053.802,1638.547,226.515,1865.061,526.366,2391.427
1985 enero,1061.433,264.533,1325.966,650.238,1976.204,523.697,192.761,716.458,473.817,1190.275,1756.587,232.757,1989.345,572.131,2561.476
1985 febrero,1120.769,267.169,1387.938,541.001,1928.938,551.42,191.239,742.658,387.247,1129.905,1619.146,230.553,1849.699,466.857,2316.556
1985 marzo,816.543,219.119,1035.662,487.904,1523.566,410.668,181.243,591.912,403.569,995.481,1627.911,233.512,1861.423,519.954,2381.377
1985 abril,598.168,191.873,790.041,415.233,1205.273,302.658,179.096,481.754,387.582,869.335,1600.734,237.004,1837.738,512.901,2350.639
1985 mayo,395.278,180.97,576.248,431.022,1007.27,209.974,185.011,394.986,440.647,835.633,1609.645,242.873,1852.518,578.458,2430.975
1985 junio,327.17,207.718,534.888,488.773,1023.661,174.55,197.762,372.312,465.345,837.657,1543.721,242.702,1786.423,571.091,2357.514
1985 julio,301.608,243.042,544.651,590.794,1135.445,175.012,214.361,389.373,521.075,910.448,1589.939,241.556,1831.495,587.181,2418.675
1985 agosto,301.992,252.381,554.373,589.199,1143.572,178.757,217.936,396.693,508.785,905.478,1610.371,247.244,1857.616,577.208,2434.823
1985 septiembre,312.758,243.375,556.134,496.305,1052.439,186.536,214.218,400.754,436.845,837.599,1528.625,244.963,1773.588,499.543,2273.131
1985 octubre,404.569,196.976,601.545,444.212,1045.758,230.132,192.704,422.836,434.579,857.415,1627.749,239.471,1867.221,540.046,2407.266
1985 noviembre,543.231,194.507,737.737,448.391,1186.129,296.679,186.661,483.341,430.306,913.646,1550.619,232.567,1783.186,536.131,2319.316
1985 diciembre,969.107,247.239,1216.347,597.55,1813.897,493.705,198.291,691.996,479.247,1171.243,1717.45,229.863,1947.314,555.554,2502.868
1986 enero,1096.939,282.854,1379.792,619.43,1999.223,560.441,203.972,764.412,446.684,1211.096,1797.331,229.286,2026.617,502.12,2528.737
1986 febrero,959.474,242.498,1201.972,497.19,1699.162,498.131,192.938,691.07,395.577,1086.647,1628.191,229.189,1857.38,469.902,2327.281
1986 marzo,835.4,223.252,1058.652,489.698,1548.351,427.095,185.39,612.484,406.648,1019.133,1717.055,234.958,1952.014,515.375,2467.389
1986 abril,564.726,193.616,758.342,424.062,1182.404,298.029,180.058,478.086,394.365,872.451,1591.414,234.133,1825.547,512.802,2338.349
1986 mayo,423.511,185.477,608.987,442.089,1051.076,227.78,187.323,415.103,446.489,861.592,1613.26,238.666,1851.926,568.866,2420.792
1986 junio,315.692,218.702,534.394,513.992,1048.386,179.797,215.242,395.039,505.861,900.9,1531.846,238.305,1770.151,560.064,2330.215
1986 julio,294.348,274.685,569.033,668.215,1237.247,174.993,230.861,405.854,561.607,967.461,1492.621,241.252,1733.872,586.883,2320.755
1986 agosto,294.801,274.887,569.687,606.22,1175.908,180.574,227.98,408.553,502.774,911.327,1529.352,240.984,1770.337,531.454,2301.79
1986 septiembre,302.018,234.276,536.294,501.127,1037.421,180.749,218.199,398.948,466.737,865.685,1479.292,243.295,1722.587,520.419,2243.006
1986 octubre,390.975,214.904,605.88,463.921,1069.8,225.434,202.802,428.237,437.796,866.033,1541.605,243.611,1785.216,525.892,2311.108
1986 noviembre,564.304,200.256,764.56,469.522,1234.082,300.29,190.165,490.455,445.863,936.318,1489.316,228.721,1718.037,536.263,2254.3
1986 diciembre,865.612,249.322,1114.934,573.298,1688.232,439.975,203.699,643.675,468.391,1112.065,1618.274,231.369,1849.643,532.015,2381.658
1987 enero,1034.087,280.498,1314.584,638.051,1952.635,531.881,206.726,738.607,470.242,1208.848,1844.596,227.011,2071.607,516.385,2587.993
1987 febrero,942.036,250.794,1192.83,504.617,1697.446,491.511,198.164,689.675,398.721,1088.396,1645.225,226.079,1871.304,454.889,2326.193
1987 marzo,830.043,230.081,1060.125,506.467,1566.591,433.641,194.517,628.158,428.18,1056.338,1619.769,234.893,1854.662,517.059,2371.721
1987 abril,603.738,204.96,808.698,441.365,1250.063,318.468,188.774,507.242,406.509,913.751,1628.227,235.443,1863.67,507.007,2370.677
1987 mayo,403.212,199.785,602.997,469.573,1072.57,223.59,201.992,425.582,474.76,900.342,1587.153,242.193,1829.346,569.248,2398.593
1987 junio,313.497,235.167,548.664,550.134,1098.797,181.134,222.241,403.376,519.896,923.272,1606.032,250.696,1856.728,586.462,2443.19
1987 julio,297.013,286.026,583.039,668.715,1251.754,183.712,240.418,424.13,562.085,986.216,1654.975,254.577,1909.551,595.187,2504.738
1987 agosto,283.891,301.084,584.975,672.692,1257.667,175.049,242.948,417.997,542.804,960.801,1626.652,258.164,1884.816,576.799,2461.615
1987 septiembre,306.302,250.81,557.112,507.72,1064.832,197.385,228.848,426.233,463.263,889.496,1615.314,257.813,1873.127,521.896,2395.023
1987 octubre,449.573,207.808,657.382,444.89,1102.272,260.788,210.469,471.257,450.586,921.843,1687.405,253.405,1940.81,542.507,2483.317
1987 noviembre,587.143,204.938,792.081,456.037,1248.118,323.664,197.664,521.327,439.848,961.175,1614.928,245.517,1860.445,546.333,2406.779
1987 diciembre,874.267,249.649,1123.916,578.236,1702.152,453.839,205.995,659.834,477.126,1136.96,1776.356,242.5,2018.855,561.678,2580.533
1988 enero,1169.925,305.654,1475.579,679.068,2154.647,577.087,220.937,798.025,490.854,1288.879,1759.979,242.417,2002.397,538.576,2540.973
1988 febrero,1036.19,273.98,1310.17,564.267,1874.437,529.505,213.546,743.051,439.801,1182.852,1731.537,245.015,1976.552,504.612,2481.164
1988 marzo,863.14,243.841,1106.98,531.789,1638.77,449.381,207.362,656.743,452.234,1108.977,1841.649,247.532,2089.181,539.841,2629.022
1988 abril,609.177,209.635,818.812,445.725,1264.537,323.886,201.171,525.057,427.73,952.787,1627.252,245.165,1872.417,521.269,2393.686
1988 mayo,449.797,196.59,646.387,456.344,1102.731,247.315,203.542,450.857,472.483,923.34,1684.525,251.954,1936.479,584.86,2521.339
1988 junio,322.275,234.854,557.128,553.039,1110.167,199.939,230.155,430.095,541.975,972.07,1663.817,260.398,1924.215,613.191,2537.406
1988 julio,305.236,297.115,602.351,695.999,1298.35,202.47,251.366,453.836,588.83,1042.665,1666.999,260.566,1927.565,610.382,2537.947
1988 agosto,300.467,321.701,622.168,735.637,1357.804,209.104,259.685,468.789,593.825,1062.614,1770.992,271.858,2042.85,621.66,2664.51
1988 septiembre,310.421,264.754,575.175,525.878,1101.053,201.787,241.115,442.902,478.923,921.825,1703.077,264.901,1967.977,526.169,2494.147
1988 octubre,449.246,217.733,666.979,463.494,1130.472,258.139,220.659,478.797,469.722,948.519,1800.359,261.442,2061.801,556.538,2618.339
1988 noviembre,626.228,217.282,843.51,477.688,1321.197,336.623,207.649,544.272,456.511,1000.783,1740.549,253.199,1993.748,556.651,2550.398
